n, x0, x1, s, xa, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
39, 0.337448559671, 0.921810699588, 1e-12, 0.00205761316872, [nan], -1.9972083849, 0.99845798026, 0.163288116649, 0.969059594574, -2.49969325696,10.4080040455, 0.000133991241455, 0.941915988922, 13:15:32  19-07-16
40, 0.106995884774, 0.971193415638, 1e-12, 0.00205761316872, [nan], -2.38303661113, 0.99845798026, 0.164304221917, 0.974648173551, -2.49831652452,10.5991568565, 0.000133991241455, 0.898488044739, 13:15:44  19-07-16
41, 0.362139917695, 0.971193415638, 1e-12, 0.00205761316872, [nan], -1.89949410087, 0.99845798026, 0.175786211452, 0.971193415638, -2.5057192392,10.3394351006, 0.000144958496094, 1.00025296211, 13:15:55  19-07-16
42, 0.288065843621, 0.625514403292, 1e-12, 0.335390946502, [nan], -0.984320499628, 0.77759985689, 0.175887821978, 0.971295026165, -2.50570749877,10.6216480732, 0.000134944915771, 1.21063494682, 13:16:07  19-07-16
43, 0.353909465021, 0.897119341564, 1e-12, 0.00205761316872, [nan], -1.88239863085, 0.99845798026, 0.175684600925, 0.971803078799, -2.50547128943,11.0607180595, 0.000185966491699, 0.99971985817, 13:16:19  19-07-16
44, 0.411522633745, 0.921810699588, 1e-12, 0.00205761316872, [nan], -1.6259558381, 0.99845798026, 0.175481379871, 0.971193415638, -2.50563842332,10.5766069889, 0.000239133834839, 1.0223710537, 13:16:31  19-07-16
45, 0.222222222222, 0.954732510288, 1e-12, 0.00205761316872, [nan], -2.46107724293, 0.99845798026, 0.181781232536, 0.965401615607, -2.50770436311,11.4099559784, 0.000170946121216, 0.936944007874, 13:16:43  19-07-16
46, 0.181069958848, 0.971193415638, 1e-12, 0.0390946502058, [nan], -2.39248684574, 0.971104701813, 0.182390895697, 0.963572626124, -2.50779677712,11.0012030602, 0.000180959701538, 1.03205394745, 13:16:55  19-07-16
47, -0.995884773663, 0.197530864198, 1e-12, 0.368312757202, [nan], 0.004508030427, 0.758634958479, 0.182390895697, 0.963572626124, -2.50779888464,11.031965971, 0.000151872634888, 1.16814804077, 13:17:07  19-07-16
48, 0.0082304526749, 0.872427983539, 1e-12, 0.372427983539, [nan], -1.13535907288, 0.756297102216, 0.182492506224, 0.963267794544, -2.50779531225,11.1262989044, 0.000133991241455, 1.23792314529, 13:17:20  19-07-16
49, 0.156378600823, 0.954732510288, 1e-12, 0.00205761316872, [nan], -2.48755569073, 0.99845798026, 0.180765127267, 0.961032362953, -2.50778291937,11.5862560272, 0.000134944915771, 1.28506994247, 13:17:33  19-07-16
50, 0.189300411523, 0.921810699588, 1e-12, 0.00205761316872, [nan], -2.4667782505, 0.99845798026, 0.180765127267, 0.960016257684, -2.50768706958,11.5634069443, 0.000135898590088, 1.2740881443, 13:17:45  19-07-16
51, -0.337448559671, 0.650205761317, 1e-12, 0.00205761316872, [nan], -0.412586015429, 0.99845798026, 0.18066351674, 0.959914647157, -2.50767460901,11.5059139729, 0.000132083892822, 1.27693510056, 13:17:58  19-07-16
